InvoiceNo,InvoiceDate,InvoiceTime,StockCode,Description,Quantity,UnitPrice,Totalsale,CustomerID,Country
536365,01-12-2010,08:26:00 AM,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,71053,WHITE METAL LANTERN,6,3.39,20.34,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,22.0,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,20.34,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,20.34,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,15.3,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,25.5,17850.0,United Kingdom
536366,01-12-2010,08:28:00 AM,22633,HAND WARMER UNION JACK,6,1.85,11.1,17850.0,United Kingdom
536366,01-12-2010,08:28:00 AM,22632,HAND WARMER RED POLKA DOT,6,1.85,11.1,17850.0,United Kingdom
536367,01-12-2010,08:34:00 AM,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,54.08,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2.1,12.6,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22748,POPPY'S PLAYHOUSE KITCHEN,6,2.1,12.6,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,30.0,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22310,IVORY KNITTED MUG COSY ,6,1.65,9.9,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,4.25,25.5,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,4.95,14.85,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,9.95,19.9,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,21754,HOME BUILDING BLOCK WORD,3,5.95,17.85,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,21755,LOVE BUILDING BLOCK WORD,3,5.95,17.85,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,21777,RECIPE BOX WITH METAL HEART,4,7.95,31.8,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,48187,DOORMAT NEW ENGLAND,4,7.95,31.8,13047.0,United Kingdom
536368,01-12-2010,08:34:00 AM,22960,JAM MAKING SET WITH JARS,6,4.25,25.5,13047.0,United Kingdom
536368,01-12-2010,08:34:00 AM,22913,RED COAT RACK PARIS FASHION,3,4.95,14.85,13047.0,United Kingdom
536368,01-12-2010,08:34:00 AM,22912,YELLOW COAT RACK PARIS FASHION,3,4.95,14.85,13047.0,United Kingdom
536368,01-12-2010,08:34:00 AM,22914,BLUE COAT RACK PARIS FASHION,3,4.95,14.85,13047.0,United Kingdom
536369,01-12-2010,08:35:00 AM,21756,BATH BUILDING BLOCK WORD,3,5.95,17.85,13047.0,United Kingdom
536370,01-12-2010,08:45:00 AM,22728,ALARM CLOCK BAKELIKE PINK,24,3.75,90.0,12583.0,France
536370,01-12-2010,08:45:00 AM,22727,ALARM CLOCK BAKELIKE RED ,24,3.75,90.0,12583.0,France
536370,01-12-2010,08:45:00 AM,22726,ALARM CLOCK BAKELIKE GREEN,12,3.75,45.0,12583.0,France
536370,01-12-2010,08:45:00 AM,21724,PANDA AND BUNNIES STICKER SHEET,12,0.85,10.2,12583.0,France
536370,01-12-2010,08:45:00 AM,21883,STARS GIFT TAPE ,24,0.65,15.6,12583.0,France
536370,01-12-2010,08:45:00 AM,10002,INFLATABLE POLITICAL GLOBE ,48,0.85,40.8,12583.0,France
536370,01-12-2010,08:45:00 AM,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,1.25,30.0,12583.0,France
536370,01-12-2010,08:45:00 AM,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,2.95,53.1,12583.0,France
536370,01-12-2010,08:45:00 AM,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2.95,70.8,12583.0,France
536370,01-12-2010,08:45:00 AM,22629,SPACEBOY LUNCH BOX ,24,1.95,46.8,12583.0,France
536370,01-12-2010,08:45:00 AM,22659,LUNCH BOX I LOVE LONDON,24,1.95,46.8,12583.0,France
536370,01-12-2010,08:45:00 AM,22631,CIRCUS PARADE LUNCH BOX ,24,1.95,46.8,12583.0,France
536370,01-12-2010,08:45:00 AM,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,0.85,17.0,12583.0,France
536370,01-12-2010,08:45:00 AM,21731,RED TOADSTOOL LED NIGHT LIGHT,24,1.65,39.6,12583.0,France
536370,01-12-2010,08:45:00 AM,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,2.95,70.8,12583.0,France
536370,01-12-2010,08:45:00 AM,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,3.75,45.0,12583.0,France
536370,01-12-2010,08:45:00 AM,22540,MINI JIGSAW CIRCUS PARADE ,24,0.42,10.08,12583.0,France
536370,01-12-2010,08:45:00 AM,22544,MINI JIGSAW SPACEBOY,24,0.42,10.08,12583.0,France
536370,01-12-2010,08:45:00 AM,22492,MINI PAINT SET VINTAGE ,36,0.65,23.4,12583.0,France
536370,01-12-2010,08:45:00 AM,POST,POSTAGE,3,18.0,54.0,12583.0,France
536371,01-12-2010,09:00:00 AM,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2.55,204.0,13748.0,United Kingdom
536372,01-12-2010,09:01:00 AM,22632,HAND WARMER RED POLKA DOT,6,1.85,11.1,17850.0,United Kingdom
536372,01-12-2010,09:01:00 AM,22633,HAND WARMER UNION JACK,6,1.85,11.1,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,71053,WHITE METAL LANTERN,6,3.39,20.34,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,22.0,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,20679,EDWARDIAN PARASOL RED,6,4.95,29.7,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,37370,RETRO COFFEE MUGS ASSORTED,6,1.06,6.36,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,21871,SAVE THE PLANET MUG,6,1.06,6.36,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,21071,VINTAGE BILLBOARD DRINK ME MUG,6,1.06,6.36,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,1.06,6.36,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,4.95,9.9,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,27.8,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.1,12.6,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2.55,15.3,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,20.34,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,20.34,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,15.3,17850.0,United Kingdom
536373,01-12-2010,09:02:00 AM,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,25.5,17850.0,United Kingdom
536374,01-12-2010,09:09:00 AM,21258,VICTORIAN SEWING BOX LARGE,32,10.95,350.4,15100.0,United Kingdom
536375,01-12-2010,09:32:00 AM,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,71053,WHITE METAL LANTERN,6,3.39,20.34,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,22.0,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,20679,EDWARDIAN PARASOL RED,6,4.95,29.7,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,37370,RETRO COFFEE MUGS ASSORTED,6,1.06,6.36,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,21871,SAVE THE PLANET MUG,6,1.06,6.36,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,21071,VINTAGE BILLBOARD DRINK ME MUG,6,1.06,6.36,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,1.06,6.36,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,4.95,9.9,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,27.8,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.1,12.6,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2.55,15.3,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,20.34,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,20.34,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,15.3,17850.0,United Kingdom
536375,01-12-2010,09:32:00 AM,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,25.5,17850.0,United Kingdom
536376,01-12-2010,09:32:00 AM,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,3.45,165.6,15291.0,United Kingdom
536376,01-12-2010,09:32:00 AM,21733,RED HANGING HEART T-LIGHT HOLDER,64,2.55,163.2,15291.0,United Kingdom
536377,01-12-2010,09:34:00 AM,22632,HAND WARMER RED POLKA DOT,6,1.85,11.1,17850.0,United Kingdom
536377,01-12-2010,09:34:00 AM,22633,HAND WARMER UNION JACK,6,1.85,11.1,17850.0,United Kingdom
536378,01-12-2010,09:37:00 AM,22386,JUMBO BAG PINK POLKADOT,10,1.95,19.5,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,1.95,19.5,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,29.5,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,20723,STRAWBERRY CHARLOTTE BAG,10,0.85,8.5,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,3.75,45.0,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,3.75,22.5,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21094,SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,20725,LUNCH BAG RED RETROSPOT,10,1.65,16.5,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,15.3,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2.55,15.3,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21212,PACK OF 72 RETROSPOT CAKE CASES,120,0.42,50.4,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21975,PACK OF 60 DINOSAUR CAKE CASES,24,0.55,13.2,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,84991,60 TEATIME FAIRY CAKE CASES,24,0.55,13.2,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2.95,17.7,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,1.25,60.0,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,0.38,36.48,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21931,JUMBO STORAGE BAG SUKI,10,1.95,19.5,14688.0,United Kingdom
536378,01-12-2010,09:37:00 AM,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,19.5,14688.0,United Kingdom
536380,01-12-2010,09:41:00 AM,22961,JAM MAKING SET PRINTED,24,1.45,34.8,17809.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,4.25,97.75,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,84854,GIRLY PINK TOOL SET,5,4.95,24.75,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,19.5,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,82567,"AIRLINE LOUNGE,METAL SIGN",2,2.1,4.2,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,1.25,7.5,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,30.0,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,30.0,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,71270,PHOTO CLIP LINE,1,1.25,1.25,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22262,FELT EGG COSY CHICKEN,1,0.85,0.85,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22637,PIGGY BANK RETROSPOT ,1,2.55,2.55,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21934,SKULL SHOULDER BAG,10,1.65,16.5,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21169,YOU'RE CONFUSING ME METAL SIGN ,3,1.69,5.07,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21166,COOK WITH WINE METAL SIGN ,1,1.95,1.95,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21175,GIN + TONIC DIET METAL SIGN,2,2.1,4.2,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,2.95,2.95,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,37444C,PINK BREAKFAST CUP AND SAUCER ,1,2.95,2.95,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,2.95,11.8,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22083,PAPER CHAIN KIT RETROSPOT,1,2.95,2.95,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,84971S,SMALL HEART FLOWERS HOOK ,6,0.85,5.1,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,71270,PHOTO CLIP LINE,3,1.25,3.75,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,47580,TEA TIME DES TEA COSY,2,2.55,5.1,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22261,FELT EGG COSY WHITE RABBIT ,1,0.85,0.85,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,0.85,0.85,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22644,CERAMIC CHERRY CAKE MONEY BANK,1,1.45,1.45,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21533,RETROSPOT LARGE MILK JUG,1,4.95,4.95,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21557,SET OF 6 FUNKY BEAKERS,2,2.95,5.9,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,15056BL,EDWARDIAN PARASOL BLACK,2,5.95,11.9,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,15056N,EDWARDIAN PARASOL NATURAL,2,5.95,11.9,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,1.45,5.8,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22176,BLUE OWL SOFT TOY,1,2.95,2.95,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,1.95,1.95,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21731,RED TOADSTOOL LED NIGHT LIGHT,2,1.65,3.3,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22778,GLASS CLOCHE SMALL,3,3.95,11.85,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,22719,GUMBALL MONOCHROME COAT RACK,36,1.06,38.16,15311.0,United Kingdom
536381,01-12-2010,09:41:00 AM,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,6.75,67.5,15311.0,United Kingdom
C536379,01-12-2010,09:41:00 AM,D,Discount,-1,27.5,-27.5,14527.0,United Kingdom
536382,01-12-2010,09:45:00 AM,10002,INFLATABLE POLITICAL GLOBE ,12,0.85,10.2,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,21912,VINTAGE SNAKES & LADDERS,8,3.75,30.0,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,21832,CHOCOLATE CALCULATOR,12,1.65,19.8,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,19.5,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22379,RECYCLING BAG RETROSPOT ,10,2.1,21.0,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22381,TOY TIDY PINK POLKADOT,50,1.85,92.5,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2.95,23.6,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22726,ALARM CLOCK BAKELIKE GREEN,4,3.75,15.0,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22926,IVORY GIANT GARDEN THERMOMETER,12,5.95,71.4,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22839,3 TIER CAKE TIN GREEN AND CREAM,2,14.95,29.9,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22838,3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,16098.0,United Kingdom
536382,01-12-2010,09:45:00 AM,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,16.95,67.8,16098.0,United Kingdom
C536383,01-12-2010,09:49:00 AM,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,4.65,-4.65,15311.0,United Kingdom
536384,01-12-2010,09:53:00 AM,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,6.45,19.35,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,0.65,31.2,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22464,HANGING METAL HEART LANTERN,12,1.65,19.8,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,21324,HANGING MEDINA LANTERN SMALL,6,2.95,17.7,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22457,NATURAL SLATE HEART CHALKBOARD ,12,2.95,35.4,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22469,HEART OF WICKER SMALL,40,1.45,58.0,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22470,HEART OF WICKER LARGE,40,2.55,102.0,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22224,WHITE LOVEBIRD LANTERN,6,2.95,17.7,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22189,CREAM HEART CARD HOLDER,4,3.95,15.8,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22427,ENAMEL FLOWER JUG CREAM,3,5.95,17.85,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22428,ENAMEL FIRE BUCKET CREAM,6,6.95,41.7,18074.0,United Kingdom
536384,01-12-2010,09:53:00 AM,22424,ENAMEL BREAD BIN CREAM,8,10.95,87.6,18074.0,United Kingdom
536385,01-12-2010,09:56:00 AM,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,17420.0,United Kingdom
536385,01-12-2010,09:56:00 AM,22961,JAM MAKING SET PRINTED,12,1.45,17.4,17420.0,United Kingdom
536385,01-12-2010,09:56:00 AM,22960,JAM MAKING SET WITH JARS,6,4.25,25.5,17420.0,United Kingdom
536385,01-12-2010,09:56:00 AM,22663,JUMBO BAG DOLLY GIRL DESIGN,10,1.95,19.5,17420.0,United Kingdom
536385,01-12-2010,09:56:00 AM,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,1.25,15.0,17420.0,United Kingdom
536385,01-12-2010,09:56:00 AM,22168,ORGANISER WOOD ANTIQUE WHITE ,2,8.5,17.0,17420.0,United Kingdom
536385,01-12-2010,09:56:00 AM,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1.65,16.5,17420.0,United Kingdom
536386,01-12-2010,09:57:00 AM,84880,WHITE WIRE EGG HOLDER,36,4.95,178.2,16029.0,United Kingdom
536386,01-12-2010,09:57:00 AM,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,1.65,165.0,16029.0,United Kingdom
536386,01-12-2010,09:57:00 AM,85099B,JUMBO BAG RED RETROSPOT,100,1.65,165.0,16029.0,United Kingdom
536387,01-12-2010,09:58:00 AM,79321,CHILLI LIGHTS,192,3.82,733.44,16029.0,United Kingdom
536387,01-12-2010,09:58:00 AM,22780,LIGHT GARLAND BUTTERFILES PINK,192,3.37,647.04,16029.0,United Kingdom
536387,01-12-2010,09:58:00 AM,22779,WOODEN OWLS LIGHT GARLAND ,192,3.37,647.04,16029.0,United Kingdom
536387,01-12-2010,09:58:00 AM,22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,1.45,626.4,16029.0,United Kingdom
536387,01-12-2010,09:58:00 AM,21731,RED TOADSTOOL LED NIGHT LIGHT,432,1.25,540.0,16029.0,United Kingdom
536388,01-12-2010,09:59:00 AM,21754,HOME BUILDING BLOCK WORD,3,5.95,17.85,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,21755,LOVE BUILDING BLOCK WORD,3,5.95,17.85,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,7.95,15.9,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,21363,HOME SMALL WOOD LETTERS,3,4.95,14.85,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,21411,GINGHAM HEART  DOORSTOP RED,3,4.25,12.75,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22318,FIVE HEART HANGING DECORATION,6,2.95,17.7,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22464,HANGING METAL HEART LANTERN,12,1.65,19.8,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,0.42,5.04,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22922,FRIDGE MAGNETS US DINER ASSORTED,12,0.85,10.2,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,17.4,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,0.85,10.2,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,21115,ROSE CARAVAN DOORSTOP,4,6.75,27.0,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22469,HEART OF WICKER SMALL,12,1.65,19.8,16250.0,United Kingdom
536388,01-12-2010,09:59:00 AM,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,1.65,19.8,16250.0,United Kingdom
536389,01-12-2010,10:03:00 AM,22941,CHRISTMAS LIGHTS 10 REINDEER,6,8.5,51.0,12431.0,Australia
536389,01-12-2010,10:03:00 AM,21622,VINTAGE UNION JACK CUSHION COVER,8,4.95,39.6,12431.0,Australia
